recordDate,fiscalQuarter,productionDept,dayOfWeek,team,plannedEfficiency,standardMinuteValue,workInProgress,overtimeMinutes,performanceBonus,idleMinutes,idleWorkers,styleChangeCount,workerCount,efficiencyScore
1/17/2015,Q3,Stitching Unit,Saturday,Line-F1,0.7,22.52,825,10170,50,0,0,No Style Change,56.5,0.7005417
1/15/2015,Q3,Stitching Unit,Thursday,Line-C2,0.8,25.9,1177,8970,60,0,0,No Style Change,56.5,0.850415628
02-05-2015,Q1,Finishing & Quality,Thursday,Line-Q2,0.8,3.94,,960,0,0,0,No Style Change,8,0.771583333
1/14/2015,Q2, Finishing & Quality ,Wednesday,Line-S3,0.8,4.15,,1440,0,0,0,No Style Change,7,0.820833333
02-11-2015,Q2,Finishing & Quality,Wednesday,Line-P2,0.8,4.08,,1080,0,0,0,No Style Change,9,1.02
03-08-2015,Q2,Stitching Unit,Sunday,Line-P1,0.8,11.41,313,3420,50,0,0,No Style Change,58,0.800034503
03-01-2015,Q1,Stitching Unit,Sunday,Line-S3,0.75,29.4,1143,6840,45,0,0,No Style Change,57,0.750473684
2/25/2015,Q4,Finishing & Quality,Wednesday,Line-F2,0.8,4.6,,1080,0,0,0,No Style Change,9,0.902962963
03-05-2015,Q1,Stitching Unit,Thursday,Line-S1,0.7,26.82,1373,6960,50,0,0,No Style Change,58,0.750651724
2/14/2015,Q2,Finishing & Quality,Saturday,Line-F3,0.8,2.9,,960,0,0,0,No Style Change,8,0.483333333
1/22/2015,Q4,Stitching Unit,Thursday,Line-Q2,0.75,22.52,1328,10080,55,0,0,No Style Change,56,0.800020563
2/23/2015,Q4,Finishing & Quality,Monday,Line-Q2,0.8,3.94,,2400,0,0,0,No Style Change,20,0.955791667
1/31/2015,Q5, Finishing & Quality ,Saturday,Line-Q2,0.8,3.94,,1200,0,0,0,No Style Change,10,0.971866667
01-06-2015,Q1, Finishing & Quality ,Tuesday,Line-F1,0.8,3.94,,4440,0,0,0,No Style Change,18,0.966781346
1/13/2015,Q2, Finishing & Quality ,Tuesday,Line-C2,0.8,2.9,,1440,0,0,0,No Style Change,8,0.681060606
02-05-2015,Q1,Stitching Unit,Thursday,Line-S2,0.8,22.52,1300,6780,113,0,0,No Style Change,56.5,1.000446018
03-09-2015,Q2,Stitching Unit,Monday,Line-C1,0.5,30.48,1161,6600,0,0,0,Minor Style Revision,55,0.500610909
01-08-2015,Q2, Finishing & Quality ,Thursday,Line-Q1,0.8,3.94,,1440,0,0,0,No Style Change,8,0.891723485
2/23/2015,Q4,Stitching Unit,Monday,Line-F2,0.8,30.1,541,7140,38,0,0,No Style Change,59,0.800137255
1/25/2015,Q4, Finishing & Quality ,Sunday,Line-Q2,0.75,3.94,,3420,0,0,0,No Style Change,19,0.955151515
03-07-2015,Q1,Stitching Unit,Saturday,Line-F2,0.7,27.48,541,6960,24,0,0,Minor Style Revision,58,0.408960345
1/22/2015,Q4,Stitching Unit,Thursday,Line-P1,0.7,14.89,1863,10260,50,0,0,No Style Change,57,0.700170388
1/31/2015,Q5, Finishing & Quality ,Saturday,Line-C2,0.65,3.94,,960,0,0,0,No Style Change,8,0.971866667
03-05-2015,Q1,Finishing & Quality,Thursday,Line-S2,0.6,3.9,,960,0,0,0,No Style Change,8,0.950625
02-07-2015,Q1,Finishing & Quality,Saturday,Line-C1,0.7,3.94,,1200,0,0,0,No Style Change,10,0.715766667
2/22/2015,Q4,Stitching Unit,Sunday,Line-F1,0.8,30.1,922,5820,63,0,0,Minor Style Revision,59,0.80000295
03-11-2015,Q2,Stitching Unit,Wednesday,Line-C2,0.7,30.48,914,6840,30,0,0,Minor Style Revision,57,0.700505263
02-02-2015,Q1, Finishing & Quality ,Monday,Line-S1,0.75,3.94,,2280,0,0,0,No Style Change,19,0.504596491
01-05-2015,Q1, Finishing & Quality ,Monday,Line-Q2,0.75,2.9,,960,0,0,0,No Style Change,8,0.763375
02-12-2015,Q2,Finishing & Quality,Thursday,Line-F1,0.7,4.15,,1800,0,0,0,No Style Change,15,1.096633333
01-08-2015,Q2,Stitching Unit,Thursday,Line-P2,0.8,11.61,548,15120,63,0,0,No Style Change,31.5,0.800107143
1/18/2015,Q3,Stitching Unit,Sunday,Line-F2,0.6,20.4,1031,10440,30,0,0,No Style Change,58,0.600062696
02-08-2015,Q2,Finishing & Quality,Sunday,Line-Q1,0.8,3.94,,960,0,0,0,No Style Change,8,0.607416667
2/25/2015,Q4,Stitching Unit,Wednesday,Line-S3,0.75,29.4,1283,6960,45,0,0,Major Design Shift,58,0.750206897
01-05-2015,Q1, Finishing & Quality ,Monday,Line-F1,0.8,3.94,,3840,0,0,0,No Style Change,16,0.893663194
01-08-2015,Q2, Finishing & Quality ,Thursday,Line-Q2,0.75,3.94,,1440,0,0,0,No Style Change,8,0.779791667
02-01-2015,Q1, Finishing & Quality ,Sunday,Line-C2,0.65,4.15,,960,0,0,0,No Style Change,8,1.0115625
03-04-2015,Q1,Finishing & Quality,Wednesday,Line-F1,0.7,3.94,,960,0,0,0,No Style Change,8,0.806058333
1/21/2015,Q3,Stitching Unit,Wednesday,Line-S3,0.7,22.52,1139,10260,63,0,0,No Style Change,57,0.750068049
01-08-2015,Q2,Stitching Unit,Thursday,Line-F3,0.8,11.41,411,14640,50,0,0,No Style Change,30.5,0.800024932
2/18/2015,Q3,Finishing & Quality,Wednesday,Line-S3,0.5,5.13,,960,0,0,0,No Style Change,8,0.2565
2/18/2015,Q3,Stitching Unit,Wednesday,Line-S1,0.8,22.52,1374,3960,63,0,0,No Style Change,57,0.800279693
1/13/2015,Q2,Stitching Unit,Tuesday,Line-C1,0.8,25.9,1126,10170,60,0,0,No Style Change,56.5,0.850136766
1/18/2015,Q3,Stitching Unit,Sunday,Line-P2,0.8,26.87,585,5670,56,0,0,No Style Change,31.5,0.662255892
1/15/2015,Q3,Stitching Unit,Thursday,Line-C1,0.8,25.9,1281,10170,60,0,0,No Style Change,56.5,0.850136766
2/26/2015,Q4,Finishing & Quality,Thursday,Line-F3,0.75,2.9,,3360,0,0,0,No Style Change,8,0.271875
1/28/2015,Q4, Finishing & Quality ,Wednesday,Line-P1,0.5,2.9,,960,0,0,0,No Style Change,8,0.259375
1/22/2015,Q4, Finishing & Quality ,Thursday,Line-S3,0.7,3.94,,12000,0,0,0,No Style Change,20,0.460578704
02-02-2015,Q1, Finishing & Quality ,Monday,Line-Q2,0.8,3.94,,1200,0,0,0,No Style Change,10,0.85695
02-04-2015,Q1,Stitching Unit,Wednesday,Line-F2,0.65,30.1,326,5820,0,90,10,No Style Change,58.5,0.650834808
2/18/2015,Q3,Finishing & Quality,Wednesday,Line-C2,0.7,5.13,,960,0,0,0,No Style Change,8,0.58
02-12-2015,Q2,Stitching Unit,Thursday,Line-C2,0.65,30.1,1193,7080,0,0,0,Minor Style Revision,59,0.463403955
03-07-2015,Q1,Stitching Unit,Saturday,Line-P2,0.8,15.26,986,4080,75,0,0,No Style Change,34,0.850520588
02-02-2015,Q1,Stitching Unit,Monday,Line-F3,0.7,18.79,2984,3960,30,0,0,No Style Change,33,0.700354545
2/24/2015,Q4,Stitching Unit,Tuesday,Line-C1,0.75,30.1,739,5640,45,0,0,Minor Style Revision,59,0.750727326
2/14/2015,Q2,Stitching Unit,Saturday,Line-C2,0.7,30.1,824,5160,0,0,0,Minor Style Revision,60,0.700206125
02-03-2015,Q1,Stitching Unit,Tuesday,Line-F1,0.8,22.52,340,5460,63,0,0,No Style Change,56.5,0.800434622
1/17/2015,Q3, Finishing & Quality ,Saturday,Line-C1,0.8,2.9,,1440,0,0,0,No Style Change,8,0.661837121
02-05-2015,Q1,Stitching Unit,Thursday,Line-F3,0.7,18.79,766,2760,30,0,0,No Style Change,33,0.700079032
2/18/2015,Q3,Stitching Unit,Wednesday,Line-C1,0.75,30.1,553,2280,45,0,0,Minor Style Revision,59,0.75053268
02-12-2015,Q2,Stitching Unit,Thursday,Line-F3,0.8,18.79,779,3960,0,0,0,No Style Change,33,0.688017677
01-03-2015,Q1, Finishing & Quality ,Saturday,Line-C1,0.8,3.94,,960,0,0,0,No Style Change,8,0.6253125
01-03-2015,Q1,Stitching Unit,Saturday,Line-F3,0.8,25.9,1152,6720,50,0,0,No Style Change,56,0.800125
1/14/2015,Q2, Finishing & Quality ,Wednesday,Line-F2,0.65,4.15,,1440,0,0,0,No Style Change,15,0.864583333
1/25/2015,Q4,Stitching Unit,Sunday,Line-Q2,0.75,22.52,1413,10080,69,0,0,No Style Change,56,0.800020563
01-08-2015,Q2,Stitching Unit,Thursday,Line-S2,0.8,28.08,783,10050,63,0,0,No Style Change,58.5,0.800497246
2/28/2015,Q4,Stitching Unit,Saturday,Line-P2,0.8,15.26,1194,1700,62,0,0,No Style Change,34,0.800260821
2/18/2015,Q3,Stitching Unit,Wednesday,Line-P1,0.7,11.41,685,3360,30,0,0,Major Design Shift,56,0.8211125
01-01-2015,Q1,Stitching Unit,Thursday,Line-P2,0.8,11.41,968,3660,50,0,0,No Style Change,30.5,0.800570492
02-03-2015,Q1,Stitching Unit,Tuesday,Line-S3,0.8,22.52,1112,6840,100,0,0,No Style Change,57,0.950185965
2/14/2015,Q2,Finishing & Quality,Saturday,Line-Q1,0.8,3.94,,960,0,0,0,No Style Change,8,0.238041667
03-03-2015,Q1,Stitching Unit,Tuesday,Line-S3,0.8,29.4,1156,6840,50,0,0,No Style Change,57,0.800333333
1/22/2015,Q4, Finishing & Quality ,Thursday,Line-F1,0.75,4.3,,9000,0,0,0,No Style Change,15,0.670216049
2/17/2015,Q3,Stitching Unit,Tuesday,Line-C1,0.7,30.1,562,840,30,0,0,Minor Style Revision,59,0.700888203
02-03-2015,Q1, Finishing & Quality ,Tuesday,Line-P2,0.8,4.08,,1080,0,0,0,No Style Change,9,0.778222222
2/24/2015,Q4,Stitching Unit,Tuesday,Line-S3,0.75,29.4,1172,5340,45,0,0,Major Design Shift,60,0.750176991
2/24/2015,Q4,Finishing & Quality,Tuesday,Line-S3,0.8,4.6,,1440,0,0,0,No Style Change,12,0.811388889
1/22/2015,Q4, Finishing & Quality ,Thursday,Line-C1,0.6,3.94,,6000,0,0,0,No Style Change,10,0.957638889
03-04-2015,Q1,Stitching Unit,Wednesday,Line-S2,0.5,15.28,261,5520,0,0,0,Minor Style Revision,46,0.404144928
01-06-2015,Q1,Stitching Unit,Tuesday,Line-P1,0.75,19.31,590,9900,45,0,0,No Style Change,55,0.750057851
02-05-2015,Q1,Stitching Unit,Thursday,Line-F1,0.5,30.1,417,6360,23,0,0,Minor Style Revision,53,0.500720126
03-10-2015,Q2,Stitching Unit,Tuesday,Line-F3,0.7,23.41,1180,4560,30,0,0,Minor Style Revision,38,0.700246491
1/27/2015,Q4,Stitching Unit,Tuesday,Line-Q2,0.8,22.52,1134,6720,70,0,0,No Style Change,56,0.900129762
2/16/2015,Q3,Stitching Unit,Monday,Line-Q1,0.6,18.79,2103,5400,0,0,0,Minor Style Revision,54,0.329964879
03-04-2015,Q1,Stitching Unit,Wednesday,Line-P2,0.8,15.26,961,4080,50,0,0,No Style Change,34,0.800401961
2/16/2015,Q3,Stitching Unit,Monday,Line-S3,0.65,30.1,1263,600,63,0,0,Minor Style Revision,58,0.802243319
03-11-2015,Q2,Stitching Unit,Wednesday,Line-Q2,0.75,21.82,1674,6000,34,0,0,No Style Change,50,0.750608
1/13/2015,Q2,Stitching Unit,Tuesday,Line-F3,0.8,11.61,1004,5670,50,0,0,No Style Change,31.5,0.800246753
02-10-2015,Q2,Finishing & Quality,Tuesday,Line-P2,0.8,4.08,,1080,0,0,0,No Style Change,9,1.004888889
1/31/2015,Q5, Finishing & Quality ,Saturday,Line-F1,0.8,3.94,,1200,0,0,0,No Style Change,10,0.971866667
2/16/2015,Q3,Finishing & Quality,Monday,Line-S3,0.5,4.15,,960,0,0,0,No Style Change,8,0.864583333
1/24/2015,Q4, Finishing & Quality ,Saturday,Line-P1,0.75,4.15,,1800,0,0,0,No Style Change,10,0.896022727
01-05-2015,Q1, Finishing & Quality ,Monday,Line-Q1,0.8,2.9,,1920,0,0,0,No Style Change,8,0.820833333
01-05-2015,Q1, Finishing & Quality ,Monday,Line-S2,0.8,3.94,,960,0,0,0,No Style Change,8,0.804416667
1/28/2015,Q4,Stitching Unit,Wednesday,Line-C2,0.7,38.09,336,6240,0,0,0,No Style Change,52,0.467693269
01-12-2015,Q2,Stitching Unit,Monday,Line-P1,0.65,12.52,1004,9540,44,0,0,No Style Change,53,0.64998056
01-01-2015,Q1,Stitching Unit,Thursday,Line-F2,0.8,11.41,668,3660,50,0,0,No Style Change,30.5,0.707045902
03-01-2015,Q1,Finishing & Quality,Sunday,Line-C2,0.75,4.6,,3360,0,0,0,No Style Change,8,0.813611111
02-07-2015,Q1,Finishing & Quality,Saturday,Line-F3,0.75,2.9,,960,0,0,0,No Style Change,8,0.845833333
1/18/2015,Q3, Finishing & Quality ,Sunday,Line-F2,0.6,4.15,,1440,0,0,0,No Style Change,8,0.852793561
1/24/2015,Q4, Finishing & Quality ,Saturday,Line-F1,0.75,4.3,,2160,0,0,0,No Style Change,12,0.651515152
2/14/2015,Q2,Finishing & Quality,Saturday,Line-P2,0.8,4.08,,1080,0,0,0,No Style Change,9,0.800888889
03-07-2015,Q1,Stitching Unit,Saturday,Line-Q2,0.7,21.82,1251,6000,30,0,0,No Style Change,50,0.700422
02-10-2015,Q2,Finishing & Quality,Tuesday,Line-Q1,0.8,3.94,,960,0,0,0,No Style Change,8,0.6895
03-08-2015,Q2,Stitching Unit,Sunday,Line-F2,0.5,26.82,711,7080,23,0,0,Minor Style Revision,59,0.500033898
1/28/2015,Q4,Stitching Unit,Wednesday,Line-F3,0.35,18.79,511,1800,23,0,0,No Style Change,32,0.437995338
03-01-2015,Q1,Stitching Unit,Sunday,Line-Q1,0.75,18.79,895,6240,34,0,0,No Style Change,52,0.750395513
02-01-2015,Q1,Stitching Unit,Sunday,Line-F3,0.65,18.79,881,3960,26,0,0,No Style Change,33,0.651007071
1/26/2015,Q4, Finishing & Quality ,Monday,Line-S1,0.7,3.94,,1800,0,0,0,No Style Change,10,0.910378788
03-08-2015,Q2,Stitching Unit,Sunday,Line-P2,0.8,15.26,1064,4080,63,0,0,No Style Change,34,0.800401961
2/15/2015,Q3,Stitching Unit,Sunday,Line-C1,0.7,30.1,881,7080,0,0,0,Minor Style Revision,59,0.700632768
1/26/2015,Q4, Finishing & Quality ,Monday,Line-F1,0.75,4.3,,2160,0,0,0,No Style Change,12,0.963699495
1/15/2015,Q3,Stitching Unit,Thursday,Line-F1,0.65,22.52,872,10080,26,0,0,No Style Change,56,0.650130952
02-07-2015,Q1,Stitching Unit,Saturday,Line-P2,0.8,15.26,1021,4080,63,0,0,No Style Change,34,0.800401961
1/13/2015,Q2,Stitching Unit,Tuesday,Line-Q2,0.35,22.4,715,10170,23,0,0,No Style Change,56.5,0.35020649
02-01-2015,Q1,Stitching Unit,Sunday,Line-P2,0.75,15.26,1276,1440,45,0,0,No Style Change,35,0.750450658
01-01-2015,Q1,Stitching Unit,Thursday,Line-P1,0.8,11.41,968,3660,50,0,0,No Style Change,30.5,0.800570492
01-01-2015,Q1, Finishing & Quality ,Thursday,Line-S2,0.75,3.94,,960,0,0,0,No Style Change,8,0.755166667
1/18/2015,Q3,Stitching Unit,Sunday,Line-P1,0.65,14.89,1140,10260,44,0,0,No Style Change,57,0.650299575
03-09-2015,Q2,Stitching Unit,Monday,Line-Q2,0.7,21.82,1576,6000,30,0,0,No Style Change,50,0.700422
1/24/2015,Q4, Finishing & Quality ,Saturday,Line-Q1,0.6,3.94,,1440,0,0,0,No Style Change,8,0.261174242
03-04-2015,Q1,Finishing & Quality,Wednesday,Line-C2,0.8,4.6,,960,0,0,0,No Style Change,8,0.930416667
01-12-2015,Q2, Finishing & Quality ,Monday,Line-Q2,0.8,3.94,,1440,0,0,0,No Style Change,8,0.24625
1/28/2015,Q4, Finishing & Quality ,Wednesday,Line-F3,0.35,2.9,,1800,0,0,0,No Style Change,15,0.977555556
01-03-2015,Q1,Stitching Unit,Saturday,Line-P2,0.8,26.16,844,7080,63,0,0,No Style Change,59,0.800318644
03-10-2015,Q2,Stitching Unit,Tuesday,Line-Q2,0.75,21.82,1499,6000,34,0,0,No Style Change,50,0.750608
02-03-2015,Q1, Finishing & Quality ,Tuesday,Line-C2,0.7,4.15,,960,0,0,0,No Style Change,8,0.976979167
1/21/2015,Q3,Stitching Unit,Wednesday,Line-S2,0.7,22.94,1422,10500,60,0,0,No Style Change,57,0.800415742
03-10-2015,Q2,Stitching Unit,Tuesday,Line-S1,0.75,26.82,1574,7080,75,0,0,No Style Change,59,0.900061017
1/26/2015,Q4, Finishing & Quality ,Monday,Line-C1,0.65,3.94,,1440,0,0,0,No Style Change,8,0.646306818
1/26/2015,Q4,Stitching Unit,Monday,Line-Q1,0.7,29.12,1143,10440,40,0,0,No Style Change,58,0.70061442
02-12-2015,Q2,Stitching Unit,Thursday,Line-S1,0.8,22.52,1397,0,138,0,0,No Style Change,57,1.100483918
1/31/2015,Q5,Stitching Unit,Saturday,Line-F1,0.8,22.52,1432,6660,88,0,0,No Style Change,57.5,0.900537069
03-03-2015,Q1,Stitching Unit,Tuesday,Line-S2,0.4,15.28,157,5400,0,6.5,30,Minor Style Revision,45,0.30277037
03-02-2015,Q1,Finishing & Quality,Monday,Line-C1,0.8,4.6,,3360,0,0,0,No Style Change,8,0.342361111
1/14/2015,Q2, Finishing & Quality ,Wednesday,Line-Q2,0.8,3.94,,1260,0,0,0,No Style Change,8,0.332359307
1/17/2015,Q3, Finishing & Quality ,Saturday,Line-C2,0.8,2.9,,1440,0,0,0,No Style Change,8,0.675568182
01-03-2015,Q1,Stitching Unit,Saturday,Line-S3,0.8,28.08,913,6540,50,0,0,No Style Change,54.5,0.800322936
1/19/2015,Q3,Stitching Unit,Monday,Line-P2,0.35,15.26,1111,6120,23,0,0,No Style Change,34,0.35021836
2/19/2015,Q3,Stitching Unit,Thursday,Line-F3,0.75,18.79,899,3960,56,0,0,No Style Change,33,0.75065101
01-04-2015,Q1,Stitching Unit,Sunday,Line-C2,0.8,25.9,1039,6780,45,0,0,No Style Change,56.5,0.850345133
1/19/2015,Q3, Finishing & Quality ,Monday,Line-F1,0.7,4.3,,5040,0,0,0,No Style Change,28,0.977272727
01-07-2015,Q1,Stitching Unit,Wednesday,Line-S1,0.8,26.16,1179,10620,75,0,0,No Style Change,59,0.850502311
2/16/2015,Q3,Stitching Unit,Monday,Line-F3,0.75,18.79,895,3960,0,0,0,No Style Change,33,0.75065101
01-04-2015,Q1,Stitching Unit,Sunday,Line-S3,0.75,19.87,734,6600,45,0,0,No Style Change,55,0.75024303
03-08-2015,Q2,Stitching Unit,Sunday,Line-S1,0.75,26.82,1254,6960,65,0,0,No Style Change,58,0.85007069
01-12-2015,Q2, Finishing & Quality ,Monday,Line-P1,0.8,4.15,,1440,0,0,0,No Style Change,8,0.640577652
01-07-2015,Q1,Stitching Unit,Wednesday,Line-Q2,0.75,28.08,1144,10530,69,0,0,No Style Change,58.5,0.8
02-01-2015,Q1, Finishing & Quality ,Sunday,Line-F3,0.6,2.9,,1200,0,0,0,No Style Change,10,0.314166667
2/28/2015,Q4,Stitching Unit,Saturday,Line-C1,0.8,30.1,644,840,38,0,0,Minor Style Revision,59,0.799982853
02-05-2015,Q1,Stitching Unit,Thursday,Line-Q2,0.8,22.52,1039,6720,113,0,0,No Style Change,56,0.999995238
01-05-2015,Q1,Stitching Unit,Monday,Line-F3,0.8,11.61,712,7200,50,0,0,No Style Change,32,0.800246011
02-04-2015,Q1,Finishing & Quality,Wednesday,Line-S2,0.8,3.94,,2160,0,0,0,No Style Change,18,0.966759259
02-12-2015,Q2,Stitching Unit,Thursday,Line-C1,0.65,30.1,909,7080,0,0,0,Minor Style Revision,59,0.535677966
2/26/2015,Q4,Finishing & Quality,Thursday,Line-S2,0.7,3.9,,960,0,0,0,No Style Change,8,0.5565625
1/24/2015,Q4, Finishing & Quality ,Saturday,Line-S1,0.7,3.94,,1440,0,0,0,No Style Change,8,0.578314394
2/23/2015,Q4,Finishing & Quality,Monday,Line-P2,0.8,5.13,,1080,0,0,0,No Style Change,9,0.9025
2/15/2015,Q3,Stitching Unit,Sunday,Line-F1,0.75,30.1,919,7140,0,0,0,Minor Style Revision,59.5,0.598627451
02-12-2015,Q2,Finishing & Quality,Thursday,Line-Q1,0.8,3.94,,960,0,0,0,No Style Change,8,0.656666667
03-03-2015,Q1,Stitching Unit,Tuesday,Line-Q1,0.75,18.79,1096,6240,34,0,0,No Style Change,52,0.750395513
1/25/2015,Q4,Stitching Unit,Sunday,Line-S2,0.75,22.94,1636,10530,81,0,0,No Style Change,58.5,0.850223776
1/28/2015,Q4,Stitching Unit,Wednesday,Line-F1,0.8,22.52,1342,6780,50,0,0,No Style Change,56.5,0.800489676
1/19/2015,Q3,Stitching Unit,Monday,Line-S2,0.7,22.94,1006,10170,38,0,0,No Style Change,56.5,0.750517565
2/24/2015,Q4,Finishing & Quality,Tuesday,Line-P1,0.7,2.9,,960,0,0,0,No Style Change,8,0.5046875
1/18/2015,Q3,Stitching Unit,Sunday,Line-S1,0.8,49.1,1381,10350,24,0,0,No Style Change,57.5,0.403242161
02-04-2015,Q1,Stitching Unit,Wednesday,Line-F1,0.35,30.1,287,6060,23,150,15,No Style Change,55.5,0.350706422
2/17/2015,Q3,Stitching Unit,Tuesday,Line-Q2,0.65,18.22,741,0,0,8,35,Minor Style Revision,49,0.302117347
1/31/2015,Q5, Finishing & Quality ,Saturday,Line-P2,0.75,4.08,,1080,0,0,0,No Style Change,9,0.971866667
2/17/2015,Q3,Finishing & Quality,Tuesday,Line-P2,0.8,5.13,,1080,0,0,0,No Style Change,9,0.9025
1/25/2015,Q4,Stitching Unit,Sunday,Line-S3,0.75,22.52,1495,10350,55,0,0,No Style Change,57.5,0.800513307
02-11-2015,Q2,Stitching Unit,Wednesday,Line-S2,0.8,22.52,1557,0,90,0,0,No Style Change,57.5,1.000344928
01-04-2015,Q1, Finishing & Quality ,Sunday,Line-P1,0.75,4.15,,960,0,0,0,No Style Change,8,0.345833333
2/25/2015,Q4,Finishing & Quality,Wednesday,Line-S2,0.7,3.9,,960,0,0,0,No Style Change,8,0.440375
01-06-2015,Q1,Stitching Unit,Tuesday,Line-S2,0.8,28.08,716,10350,50,0,0,No Style Change,57.5,0.800594466
2/19/2015,Q3,Finishing & Quality,Thursday,Line-S2,0.8,5.13,,3600,0,0,0,No Style Change,15,0.710125
03-07-2015,Q1,Finishing & Quality,Saturday,Line-F1,0.7,3.94,,960,0,0,0,No Style Change,8,0.664875
1/20/2015,Q3, Finishing & Quality ,Tuesday,Line-P1,0.7,4.15,,2700,0,0,0,No Style Change,15,0.362666667
2/25/2015,Q4,Stitching Unit,Wednesday,Line-F1,0.8,30.1,323,4080,50,0,0,Minor Style Revision,59,0.800808642
1/17/2015,Q3, Finishing & Quality ,Saturday,Line-Q2,0.8,3.94,,1440,0,0,0,No Style Change,8,0.974621212
02-09-2015,Q2,Stitching Unit,Monday,Line-Q1,0.8,29.12,1073,6960,50,0,0,No Style Change,58,0.799963218
02-08-2015,Q2,Finishing & Quality,Sunday,Line-P2,0.8,4.08,,1080,0,0,0,No Style Change,9,0.891555556
1/21/2015,Q3,Stitching Unit,Wednesday,Line-Q2,0.7,22.52,1206,10080,75,0,0,No Style Change,56,0.800020563
2/17/2015,Q3,Stitching Unit,Tuesday,Line-S1,0.8,22.52,1445,6840,113,0,0,No Style Change,57,1.000230409
02-01-2015,Q1, Finishing & Quality ,Sunday,Line-S1,0.75,3.94,,2280,0,0,0,No Style Change,19,0.950438596
02-08-2015,Q2,Stitching Unit,Sunday,Line-F2,0.7,30.1,754,7020,0,0,0,No Style Change,58.5,0.700618234
1/29/2015,Q5, Finishing & Quality ,Thursday,Line-Q2,0.8,3.94,,1200,0,0,0,No Style Change,10,0.85695
02-11-2015,Q2,Stitching Unit,Wednesday,Line-F2,0.75,30.1,788,7380,56,0,0,No Style Change,59.5,0.750406233
01-11-2015,Q2,Stitching Unit,Sunday,Line-S2,0.8,28.08,805,10530,63,0,0,No Style Change,58.5,0.8
2/25/2015,Q4,Finishing & Quality,Wednesday,Line-P2,0.8,4.6,,1800,0,0,0,No Style Change,15,0.899555556
02-12-2015,Q2,Finishing & Quality,Thursday,Line-S2,0.8,3.94,,2160,0,0,0,No Style Change,18,0.601944444
01-07-2015,Q1, Finishing & Quality ,Wednesday,Line-F1,0.8,3.94,,4440,0,0,0,No Style Change,18,0.827186544
1/21/2015,Q3, Finishing & Quality ,Wednesday,Line-P1,0.7,4.15,,2700,0,0,0,No Style Change,9,0.470769231
1/14/2015,Q2, Finishing & Quality ,Wednesday,Line-F1,0.35,4.3,,2700,0,0,0,No Style Change,8,0.908080808
2/26/2015,Q4,Finishing & Quality,Thursday,Line-S3,0.8,4.6,,6300,0,0,0,No Style Change,15,0.921703704
03-02-2015,Q1,Stitching Unit,Monday,Line-F3,0.75,18.79,947,2880,34,0,0,No Style Change,33,0.750797009
02-03-2015,Q1,Stitching Unit,Tuesday,Line-Q1,0.75,29.12,1070,6960,34,0,0,No Style Change,58,0.750593103
03-11-2015,Q2,Finishing & Quality,Wednesday,Line-Q2,0.75,2.9,,960,0,0,0,No Style Change,8,0.628333333
02-11-2015,Q2,Stitching Unit,Wednesday,Line-P2,0.8,15.26,854,4080,50,0,0,No Style Change,34,0.800401961
1/15/2015,Q3, Finishing & Quality ,Thursday,Line-S1,0.8,3.94,,1440,0,0,0,No Style Change,8,0.884261364
1/28/2015,Q4,Stitching Unit,Wednesday,Line-S2,0.8,22.52,1559,6840,90,0,0,No Style Change,57,1.000230409
03-10-2015,Q2,Finishing & Quality,Tuesday,Line-P1,0.8,2.9,,960,0,0,0,No Style Change,8,0.758229167
1/20/2015,Q3,Stitching Unit,Tuesday,Line-C2,0.8,25.9,1434,10170,50,0,0,No Style Change,56.5,0.800128721
02-08-2015,Q2,Stitching Unit,Sunday,Line-Q1,0.8,29.12,909,6960,50,0,0,No Style Change,58,0.799963218
02-01-2015,Q1, Finishing & Quality ,Sunday,Line-Q2,0.8,3.94,,1200,0,0,0,No Style Change,10,0.8865
03-02-2015,Q1,Stitching Unit,Monday,Line-S1,0.65,26.66,1527,6840,65,0,0,No Style Change,57,0.800579532
01-11-2015,Q2,Stitching Unit,Sunday,Line-Q2,0.8,28.08,762,10530,38,0,0,No Style Change,58.5,0.8
01-08-2015,Q2,Stitching Unit,Thursday,Line-S3,0.8,19.87,857,9900,50,0,0,No Style Change,55,0.800273829
03-10-2015,Q2,Finishing & Quality,Tuesday,Line-Q1,0.75,2.9,,1800,0,0,0,No Style Change,15,0.821666667
2/14/2015,Q2,Stitching Unit,Saturday,Line-C1,0.7,30.1,957,7200,0,0,0,Minor Style Revision,60,0.602
03-08-2015,Q2,Finishing & Quality,Sunday,Line-F2,0.5,3.94,,960,0,0,0,No Style Change,8,0.857916667
01-05-2015,Q1, Finishing & Quality ,Monday,Line-C1,0.8,3.94,,960,0,0,0,No Style Change,8,0.676666667
1/28/2015,Q4,Stitching Unit,Wednesday,Line-F2,0.6,20.79,1045,6960,88,0,0,No Style Change,58,0.800534483
2/16/2015,Q3,Finishing & Quality,Monday,Line-P2,0.8,4.08,,1080,0,0,0,No Style Change,9,0.891555556
2/14/2015,Q2,Stitching Unit,Saturday,Line-F2,0.75,30.1,664,7140,56,0,0,No Style Change,59,0.750392157
01-03-2015,Q1,Stitching Unit,Saturday,Line-F2,0.8,11.61,659,7080,50,0,0,No Style Change,31.5,0.800148649
1/28/2015,Q4, Finishing & Quality ,Wednesday,Line-S2,0.8,3.94,,1800,0,0,0,No Style Change,15,0.902222222
